ID,Orden,Tema,Artista / versión,Referencia concreta,Voz principal,Voz asignada,Duración directo,Duración original,Estado duración,Tono visible,Tono original,Tono actual banda,Tono propuesto ensayo,Estado tonalidad,Tono Miguel,Tono Carmen,Notas transporte,Cejilla / capo,BPM,Bloque,Estado,Playlist Spotify,Spotify tema,YouTube,Enlace acordes/letra,Estructura,Letra/acordes/tablatura,Notas interpretación/letra,Fuente / validación,Notas internas
11,11,Stand By Me,Ben E. King,Versión BCB / validar en ensayo,Ambos,Ambos,2:54,,Confirmada desde setlist concierto v11,A / La,A / La,A / La,A / La,Orientativo · validar en ensayo,A / La,A / La,Tema relajado/coral; dejar respirar al público. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Stand%20By%20Me%20Ben%20E.%20King,https://www.youtube.com/results?search_query=Stand%20By%20Me%20Ben%20E.%20King%20official,https://www.google.com/search?q=Stand%20By%20Me%20Ben%20E.%20King%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
12,12,Wicked Game (HIM),HIM / Chris Isaak,Versión BCB / validar en ensayo,Miguel,Miguel,3:53,,Confirmada desde setlist concierto v11,Bm / Si menor,Bm / Si menor,Bm / Si menor,Bm / Si menor,Orientativo · validar en ensayo,Bm / Si menor,,Versión HIM como referencia; cuidar atmósfera y no acelerar. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Wicked%20Game%20%28HIM%29%20HIM%20/%20Chris%20Isaak,https://www.youtube.com/results?search_query=Wicked%20Game%20%28HIM%29%20HIM%20/%20Chris%20Isaak%20official,https://www.google.com/search?q=Wicked%20Game%20%28HIM%29%20HIM%20/%20Chris%20Isaak%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
13,13,Shallow,Lady Gaga / Bradley Cooper,Versión BCB / validar en ensayo,Ambos,Ambos,3:36,,Confirmada desde setlist concierto v11,G / Sol,G / Sol,G / Sol,G / Sol,Orientativo · validar en ensayo,G / Sol,G / Sol,Dúo; validar entradas y reparto de segunda voz. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Shallow%20Lady%20Gaga%20/%20Bradley%20Cooper,https://www.youtube.com/results?search_query=Shallow%20Lady%20Gaga%20/%20Bradley%20Cooper%20official,https://www.google.com/search?q=Shallow%20Lady%20Gaga%20/%20Bradley%20Cooper%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
14,14,Cadillac solitario,Loquillo,Versión BCB / validar en ensayo,Miguel,Miguel,4:24,,Confirmada desde setlist concierto v11,G / Sol,G / Sol,G / Sol,G / Sol,Orientativo · validar en ensayo,G / Sol,,Tema narrativo; voz al frente y guitarras contenidas. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Cadillac%20solitario%20Loquillo,https://www.youtube.com/results?search_query=Cadillac%20solitario%20Loquillo%20official,https://www.google.com/search?q=Cadillac%20solitario%20Loquillo%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: español. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
15,15,With Or Without You,U2,Versión BCB / validar en ensayo,Miguel,Miguel,3:45,,Confirmada desde setlist concierto v11,D / Re,D / Re,D / Re,D / Re,Orientativo · validar en ensayo,D / Re,,Mantener base estable; crescendo controlado. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/With%20Or%20Without%20You%20U2,https://www.youtube.com/results?search_query=With%20Or%20Without%20You%20U2%20official,https://www.google.com/search?q=With%20Or%20Without%20You%20U2%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
16,16,Love Me Do,The Beatles,Versión BCB / validar en ensayo,Ambos,Ambos,2:30,,Confirmada desde setlist concierto v11,G / Sol,G / Sol,G / Sol,G / Sol,Orientativo · validar en ensayo,G / Sol,G / Sol,Tema corto para aligerar bloque; revisar coros. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Love%20Me%20Do%20The%20Beatles,https://www.youtube.com/results?search_query=Love%20Me%20Do%20The%20Beatles%20official,https://www.google.com/search?q=Love%20Me%20Do%20The%20Beatles%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
17,17,Moriría por vos,Amaral,Versión BCB / validar en ensayo,Carmen,Carmen,3:47,,Confirmada desde setlist concierto v11,C / Do,C / Do,C / Do,C / Do,Orientativo · validar en ensayo,,C / Do,Tono BCB previo; validar si Carmen prefiere conservarlo. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Medio → intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Morir%C3%ADa%20por%20vos%20Amaral,https://www.youtube.com/results?search_query=Morir%C3%ADa%20por%20vos%20Amaral%20official,https://www.google.com/search?q=Morir%C3%ADa%20por%20vos%20Amaral%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: español. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
18,18,La Flaca,Jarabe de Palo,Versión BCB / validar en ensayo,Miguel,Miguel,4:20,,Confirmada desde setlist concierto v11,Am / La menor,Am / La menor,Am / La menor,Am / La menor,Orientativo · validar en ensayo,Am / La menor,,Tono original orientativo; groove y bajo claros. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Medio → intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/La%20Flaca%20Jarabe%20de%20Palo,https://www.youtube.com/results?search_query=La%20Flaca%20Jarabe%20de%20Palo%20official,https://www.google.com/search?q=La%20Flaca%20Jarabe%20de%20Palo%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: español. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
19,19,Back To Black,Amy Winehouse,Versión BCB / validar en ensayo,Carmen,Carmen,4:00,,Confirmada desde setlist concierto v11,Dm / Re menor,Dm / Re menor,Dm / Re menor,Dm / Re menor,Orientativo · validar en ensayo,,Dm / Re menor,Cuidar fraseo y dinámica; no sobrecargar efectos. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Medio → intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Back%20To%20Black%20Amy%20Winehouse,https://www.youtube.com/results?search_query=Back%20To%20Black%20Amy%20Winehouse%20official,https://www.google.com/search?q=Back%20To%20Black%20Amy%20Winehouse%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
20,20,Crazy Little Thing Called Love,Queen,Versión BCB / validar en ensayo,Miguel,Miguel,2:44,,Confirmada desde setlist concierto v11,D / Re,D / Re,D / Re,D / Re,Orientativo · validar en ensayo,D / Re,,Tema de subida; directo y con swing. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Medio → intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Crazy%20Little%20Thing%20Called%20Love%20Queen,https://www.youtube.com/results?search_query=Crazy%20Little%20Thing%20Called%20Love%20Queen%20official,https://www.google.com/search?q=Crazy%20Little%20Thing%20Called%20Love%20Queen%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
21,21,My Way (Rock),Frank Sinatra / versión rock,Versión BCB / validar en ensayo,Miguel,Miguel,6:47,,Confirmada desde setlist concierto v11,C / Do,C / Do,C / Do,C / Do,Orientativo · validar en ensayo,C / Do,,Versión rock BCB; revisar si se mantiene C o se abre a D en ensayo. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Medio → intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/My%20Way%20%28Rock%29%20Frank%20Sinatra%20/%20versi%C3%B3n%20rock,https://www.youtube.com/results?search_query=My%20Way%20%28Rock%29%20Frank%20Sinatra%20/%20versi%C3%B3n%20rock%20official,https://www.google.com/search?q=My%20Way%20%28Rock%29%20Frank%20Sinatra%20/%20versi%C3%B3n%20rock%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
22,22,Sweet Dreams + Seven Nation Army,Eurythmics / The White Stripes,Versión BCB / validar en ensayo,Carmen,Carmen,7:29,,Confirmada desde setlist concierto v11,Cm / Do menor + Em / Mi menor,Cm / Do menor + Em / Mi menor,Cm / Do menor + Em / Mi menor,Cm / Do menor + Em / Mi menor,Orientativo · validar en ensayo,,Cm / Do menor + Em / Mi menor,"Medley largo; definir cortes, entradas y final en ensayo. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.",,,Medio → intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Sweet%20Dreams%20%2B%20Seven%20Nation%20Army%20Eurythmics%20/%20The%20White%20Stripes,https://www.youtube.com/results?search_query=Sweet%20Dreams%20%2B%20Seven%20Nation%20Army%20Eurythmics%20/%20The%20White%20Stripes%20official,https://www.google.com/search?q=Sweet%20Dreams%20%2B%20Seven%20Nation%20Army%20Eurythmics%20/%20The%20White%20Stripes%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
23,23,Carolina,M-Clan,Versión BCB / validar en ensayo,Miguel,Miguel,4:22,,Confirmada desde setlist concierto v11,G / Sol,G / Sol,G / Sol,G / Sol,Orientativo · validar en ensayo,G / Sol,,Tema de tramo alto; controlar guitarras para dejar voz clara. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Carolina%20M-Clan,https://www.youtube.com/results?search_query=Carolina%20M-Clan%20official,https://www.google.com/search?q=Carolina%20M-Clan%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: español. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
